label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,0.0,0.0013324450366422385,0.09236234458259325,0.0,0.034825252841821835,0.0,0.0,0.673469387755102,0.0,0.0,0.0,0.0,0.0,0,4,96,146,1,4,163,1,1,72,117,127,157,7,127,126,8,66,0,0,3,0,1,96,0,0
0,0.0,0.0,0.00674955595026643,0.40229885057471265,0.05962750304040935,0.11728395061728396,0.0033222591362126247,0.7142857142857142,0.15473887814313347,0.0,0.03125,0.0,0.3431372549019608,11,1,98,98,1,6,179,0,1,89,58,97,79,7,72,26,7,52,0,0,47,0,7,112,0,0
0,0.0,0.00033311125916055963,0.0007104795737122557,0.13793103448275862,0.0039678081260237355,0.0778727445394112,0.019933554817275746,0.7142857142857142,0.5058027079303675,0.0,0.09375,0.0,0.1764705882352941,0,18,39,52,3,4,140,2,1,93,31,122,16,7,129,97,8,49,0,0,25,0,6,53,0,0
0,0.0,0.004663557628247835,0.00035523978685612787,0.04597701149425287,0.03318530432674397,0.0949667616334283,0.016611295681063124,0.08163265306122448,0.02804642166344294,0.0,0.0625,0.0,0.0392156862745098,0,45,7,117,1,0,164,1,0,20,61,104,36,1,43,43,8,37,0,0,156,0,0,32,0,0
0,0.0,0.00033311125916055963,0.036944937833037296,0.3103448275862069,0.003922473010823266,0.06742640075973409,0.013289036544850499,0.6530612244897959,0.035783365570599614,0.0,0.03125,0.0,0.2647058823529412,0,11,59,77,1,5,18,1,1,45,171,162,96,4,36,121,8,14,5,3,9,0,0,5,1,47
0,0.0,0.0,0.022380106571936054,0.45977011494252873,0.002897505188899598,0.028964862298195632,0.013289036544850499,0.7551020408163265,0.04448742746615087,0.0,0.03125,0.0,0.39215686274509803,11,11,106,97,1,0,30,7,1,35,21,41,60,7,133,8,8,105,5,3,77,0,0,13,1,34
0,0.0,0.12358427714856762,0.0014209591474245115,0.011494252873563218,0.003522341341879988,0.0308641975308642,0.046511627906976744,0.5102040816326531,0.47292069632495165,0.0,0.21875,0.0,0.24509803921568626,0,14,168,6,1,0,149,1,1,30,10,14,49,1,39,52,4,46,18,3,58,0,2,41,3,71
1,0.5135135135135136,0.0036642238507661557,0.010657193605683835,0.11494252873563218,1.971091965237822e-06,0.0014245014245014246,0.10963455149501661,0.9591836734693877,0.1218568665377176,1.0,0.15625,0.0,0.0196078431372549,0,23,31,36,3,0,93,1,1,53,102,16,141,7,96,55,8,80,5,1,128,0,0,12,16,17
0,0.0,0.00033311125916055963,0.012788632326820603,0.25287356321839083,0.009232594765173957,0.10303893637226971,0.029900332225913623,0.7142857142857142,0.13056092843326886,0.0,0.03125,0.0,0.4215686274509804,16,7,141,85,1,6,34,1,1,30,145,15,0,2,31,122,8,57,0,0,113,0,9,12,0,0
0,0.05405405405405406,0.003997335109926716,0.002841918294849023,0.26436781609195403,5.9132758957134656e-05,0.0052231718898385565,0.006644518272425249,0.16326530612244897,0.022243713733075435,0.3333333333333333,0.03125,0.0,0.10784313725490197,0,35,157,63,4,4,72,1,1,1,75,34,4,0,147,48,0,95,5,2,28,0,8,34,11,74
0,0.05405405405405406,0.0006662225183211193,0.0674955595026643,0.28735632183908044,1.5768735721902575e-05,0.01234567901234568,0.006644518272425249,0.5510204081632653,0.024177949709864605,0.3333333333333333,0.03125,0.0,0.24509803921568626,0,85,137,59,1,4,7,4,1,62,43,149,95,1,32,143,8,29,23,1,5,0,2,19,16,20
0,0.0,0.000999333777481679,0.0007104795737122557,0.011494252873563218,0.010906051843660869,0.0004748338081671415,0.1362126245847176,0.02040816326530612,0.031914893617021274,0.0,0.15625,0.0,0.00980392156862745,0,77,27,127,1,3,101,7,1,0,38,90,134,4,90,71,8,5,31,2,4,2,0,35,16,24
0,0.0,0.001998667554963358,0.0,0.0,0.03631539836754163,0.21889838556505226,0.07641196013289037,0.08163265306122448,0.22340425531914893,0.0,0.0625,0.0,0.0,0,88,122,43,1,4,134,7,1,19,78,99,75,7,27,37,8,68,0,0,46,0,8,22,0,0
