deviceid,newsid,guid,pos,app_version,device_vendor,netmodel,osversion,lng,lat,device_version,lng_lat,deviceid_newsid_mode,deviceid_pos_mode,deviceid_app_version_mode,deviceid_device_vendor_mode,deviceid_netmodel_mode,deviceid_osversion_mode,deviceid_lng_mode,deviceid_lat_mode,deviceid_device_version_mode,deviceid_lng_lat_mode,app_version_count,app_version_deviceid_count_ratio,day_minute,day_second,device_vendor_count,device_vendor_deviceid_count_ratio,device_version_count,device_version_deviceid_count_ratio,deviceid_app_version_count,deviceid_app_version_count_ratio,deviceid_app_version_ent,deviceid_app_version_mode_count,deviceid_app_version_nunique,deviceid_app_version_nunique_ratio_deviceid_count,deviceid_before_count,deviceid_count,deviceid_day_count,deviceid_day_hour_count,deviceid_device_vendor_count,deviceid_device_vendor_count_ratio,deviceid_device_vendor_ent,deviceid_device_vendor_mode_count,deviceid_device_vendor_nunique,deviceid_device_vendor_nunique_ratio_deviceid_count,deviceid_device_version_count,deviceid_device_version_count_ratio,deviceid_device_version_ent,deviceid_device_version_mode_count,deviceid_device_version_nunique,deviceid_device_version_nunique_ratio_deviceid_count,deviceid_first_exposure_ts_gap,deviceid_hour_count,deviceid_last_exposure_ts_gap,deviceid_lat_count,deviceid_lat_count_ratio,deviceid_lat_ent,deviceid_lat_mode_count,deviceid_lat_nunique,deviceid_lat_nunique_ratio_deviceid_count,deviceid_lng_count,deviceid_lng_count_ratio,deviceid_lng_ent,deviceid_lng_lat_count,deviceid_lng_lat_count_ratio,deviceid_lng_lat_ent,deviceid_lng_lat_mode_count,deviceid_lng_lat_nunique,deviceid_lng_lat_nunique_ratio_deviceid_count,deviceid_lng_mode_count,deviceid_lng_nunique,deviceid_lng_nunique_ratio_deviceid_count,deviceid_netmodel_count,deviceid_netmodel_count_ratio,deviceid_netmodel_ent,deviceid_netmodel_mode_count,deviceid_netmodel_nunique,deviceid_netmodel_nunique_ratio_deviceid_count,deviceid_newsid_count,deviceid_newsid_count_ratio,deviceid_newsid_ent,deviceid_newsid_mode_count,deviceid_newsid_nunique,deviceid_newsid_nunique_ratio_deviceid_count,deviceid_next10_exposure_ts_gap,deviceid_next1_exposure_ts_gap,deviceid_next20_exposure_ts_gap,deviceid_next2_exposure_ts_gap,deviceid_next30_exposure_ts_gap,deviceid_next3_exposure_ts_gap,deviceid_next50_exposure_ts_gap,deviceid_next5_exposure_ts_gap,deviceid_next8_exposure_ts_gap,deviceid_next_exposure_ts_gap_mean,deviceid_next_total_hour_count,deviceid_osversion_count,deviceid_osversion_count_ratio,deviceid_osversion_ent,deviceid_osversion_mode_count,deviceid_osversion_nunique,deviceid_osversion_nunique_ratio_deviceid_count,deviceid_pos_count,deviceid_pos_count_ratio,deviceid_pos_ent,deviceid_pos_mode_count,deviceid_pos_nunique,deviceid_pos_nunique_ratio_deviceid_count,deviceid_prev10_exposure_ts_gap,deviceid_prev1_exposure_ts_gap,deviceid_prev20_exposure_ts_gap,deviceid_prev2_exposure_ts_gap,deviceid_prev30_exposure_ts_gap,deviceid_prev3_exposure_ts_gap,deviceid_prev50_exposure_ts_gap,deviceid_prev5_exposure_ts_gap,deviceid_prev8_exposure_ts_gap,deviceid_prev_day_click_count,deviceid_prev_day_count,deviceid_prev_day_ctr,deviceid_prev_day_exposure_click_gap_iqr,deviceid_prev_day_exposure_click_gap_kurt,deviceid_prev_day_exposure_click_gap_max,deviceid_prev_day_exposure_click_gap_mean,deviceid_prev_day_exposure_click_gap_mean_ratio_iqr,deviceid_prev_day_exposure_click_gap_mean_ratio_ptp,deviceid_prev_day_exposure_click_gap_mean_ratio_std,deviceid_prev_day_exposure_click_gap_median,deviceid_prev_day_exposure_click_gap_min,deviceid_prev_day_exposure_click_gap_ptp,deviceid_prev_day_exposure_click_gap_q1,deviceid_prev_day_exposure_click_gap_q3,deviceid_prev_day_exposure_click_gap_skew,deviceid_prev_day_exposure_click_gap_std,deviceid_prev_exposure_ts_gap_mean,deviceid_prev_total_hour_click_count,deviceid_prev_total_hour_count,deviceid_prev_total_hour_ctr,guid_count,hour,hour_second,lat_count,lat_deviceid_count_ratio,lng_count,lng_deviceid_count_ratio,lng_lat_count,lng_lat_deviceid_count_ratio,minute,netmodel_count,netmodel_deviceid_count_ratio,newsid_count,newsid_deviceid_count_ratio,osversion_count,osversion_deviceid_count_ratio,pos_count,pos_deviceid_count_ratio,second,total_hour,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14011,1.0,1154,69286,3038,1.0,19,1.0,2,0.0001427,0.0,14085,1,0.5,0,2,2,2,2,0.0006585,0,3038,1,0.5,2,0.1053,0,19,1,0.5,0,2,1134,1,1.0,0.6934,2,2,1.0,1,1.0,0.6934,1,1.0,0.6934,2,2,1.0,2,2,1.0,1,0.001217,0.6934,532,2,1.0,2,1.0,0.0,2,1,0.5,,1134.0,,,,,,,,1134.0,,2,0.0002372,0.0,8475,1,0.5,2,0.000373,0.0,7339,1,0.5,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,2,19,886,1,0.5,1,0.5,1,0.5,14,822,0.5,2,1.0,8431,1.0,5364,1.0,46,43,0
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,14011,1.0,1154,69287,3038,1.0,19,1.0,2,0.0001427,0.0,14085,1,0.5,1,2,2,2,2,0.0006585,0,3038,1,0.5,2,0.1053,0,19,1,0.5,1134,2,0,1,1.0,0.6934,2,2,1.0,1,1.0,0.6934,1,1.0,0.6934,2,2,1.0,2,2,1.0,1,0.000269,0.6934,532,2,1.0,2,1.0,0.0,2,1,0.5,,,,,,,,,,,,2,0.0002372,0.0,8475,1,0.5,2,0.000373,0.0,7339,1,0.5,,1134.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1134.0,0.0,0.0,0.0,2,19,887,1,0.5,1,0.5,1,0.5,14,3719,0.5,2,1.0,8431,1.0,5364,1.0,47,43,0
3,4,3,0,0,3,2,1,2,2,3,2,4,1,0,3,2,1,2,2,3,2,14011,1.0,861,51667,4730,1.0,772,1.0,4,0.0002854,0.0,14085,1,0.25,2,4,4,4,4,0.0008454,0,4730,1,0.25,4,0.00518,0,772,1,0.25,245308,4,6303,3,0.001121,0.5625,2674,2,0.5,3,0.001121,0.5625,3,0.001121,0.5625,2682,2,0.5,2679,2,0.5,3,0.0001942,0.5625,16648,2,0.5,1,0.1666,1.387,15,4,1.0,,6303.0,,,,,,,,6303.0,,4,0.000402,0.0,9944,1,0.25,1,0.0001864,1.04,2888,3,0.75,,9558.0,,245308.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,127433.0,0.0,0.0,0.0,3,14,1267,2678,0.75,2678,0.75,2678,0.75,21,15452,0.75,6,0.25,9948,1.0,5364,0.25,7,38,0
3,5,3,1,0,3,2,1,2,2,3,2,4,1,0,3,2,1,2,2,3,2,14011,1.0,860,51658,4730,1.0,772,1.0,4,0.0002854,0.0,14085,1,0.25,1,4,4,4,4,0.0008454,0,4730,1,0.25,4,0.00518,0,772,1,0.25,235750,4,15861,3,0.001121,0.5625,2674,2,0.5,3,0.001121,0.5625,3,0.001121,0.5625,2682,2,0.5,2679,2,0.5,3,0.0001942,0.5625,16648,2,0.5,1,0.2,1.387,15,4,1.0,,9558.0,,15861.0,,,,,,12709.5,,4,0.000402,0.0,9944,1,0.25,2,0.0004888,1.04,2888,3,0.75,,235750.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,235750.0,0.0,0.0,0.0,3,14,1258,2678,0.75,2678,0.75,2678,0.75,20,15452,0.75,5,0.25,9948,1.0,4092,0.5,58,38,0
3,6,4,2,0,3,1,1,4,4,3,4,4,1,0,3,2,1,2,2,3,2,14011,1.0,857,51422,4730,1.0,772,1.0,4,0.0002854,0.0,14085,1,0.25,0,4,4,4,4,0.0008454,0,4730,1,0.25,4,0.00518,0,772,1,0.25,0,4,251611,1,0.00435,0.5625,2674,2,0.5,1,0.00435,0.5625,1,0.00435,0.5625,2682,2,0.5,2679,2,0.5,1,0.000269,0.5625,16648,2,0.5,1,0.1666,1.387,15,4,1.0,,235750.0,,245308.0,,251611.0,,,,244223.0,,4,0.000402,0.0,9944,1,0.25,1,0.0001558,1.04,2888,3,0.75,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,204,14,1022,230,0.25,230,0.25,230,0.25,17,3719,0.25,6,0.25,9948,1.0,6420,0.25,2,38,0
3,7,3,1,0,3,2,1,2,2,3,2,4,1,0,3,2,1,2,2,3,2,14011,1.0,861,51674,4730,1.0,772,1.0,4,0.0002854,0.0,14085,1,0.25,3,4,4,4,4,0.0008454,0,4730,1,0.25,4,0.00518,0,772,1,0.25,251611,4,0,3,0.001121,0.5625,2674,2,0.5,3,0.001121,0.5625,3,0.001121,0.5625,2682,2,0.5,2679,2,0.5,3,0.0001942,0.5625,16648,2,0.5,1,0.2,1.387,15,4,1.0,,,,,,,,,,,,4,0.000402,0.0,9944,1,0.25,2,0.0004888,1.04,2888,3,0.75,,6303.0,,15861.0,,251611.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,91258.336,0.0,0.0,0.0,3,14,1274,2678,0.75,2678,0.75,2678,0.75,21,15452,0.75,5,0.25,9948,1.0,4092,0.5,14,38,0
4,8,5,0,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1386,83161,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,8,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,362419,60,173774801,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,654823.0,1215.0,766144.0,25453.0,856390.0,295592.0,86866050.0,397703.0,608064.0,10052381.0,,153,0.01814,0.0,8475,1,0.006535,43,0.00802,1.758,7339,7,0.04575,,1738.0,,10446.0,,11726.0,,357254.0,362419.0,0.0,0.0,0.0,,,,,,,,,,,,,,,148716.6,0.0,1.0,0.0,153,23,361,2678,1.0,2678,1.0,2678,1.0,6,15452,0.876,1,0.006535,8431,1.0,5364,0.281,1,47,0
4,9,5,0,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1386,83187,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,10,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,387872,60,173749348,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,672204.0,270139.0,774418.0,271539.0,834177.0,372250.0,86856410.0,463225.0,629370.0,10127081.0,,153,0.01814,0.0,8475,1,0.006535,43,0.00802,1.758,7339,7,0.04575,387872.0,24238.0,,25453.0,,27191.0,,37179.0,385572.0,0.0,0.0,0.0,,,,,,,,,,,,,,,147917.5,0.0,1.0,0.0,153,23,387,2678,1.0,2678,1.0,2678,1.0,6,15452,0.876,1,0.006535,8431,1.0,5364,0.281,27,47,0
4,10,5,2,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1380,82804,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,3,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,5165,60,174132055,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,2,0.6665,4.957,153,145,0.9478,754957.0,1250.0,1070924.0,345528.0,1190557.0,346808.0,27415556.0,357254.0,652846.0,3570631.0,,153,0.01814,0.0,8475,1,0.006535,31,0.00483,1.758,7339,7,0.04575,,2865.0,,3126.0,,5165.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,3718.6667,0.0,1.0,0.0,153,23,4,2678,1.0,2678,1.0,2678,1.0,0,15452,0.876,3,0.01307,8431,1.0,6420,0.2026,4,47,0
4,10,5,2,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1380,82805,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,4,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,6415,60,174130805,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,2,0.6665,4.957,153,145,0.9478,754383.0,344278.0,1075439.0,345558.0,1191942.0,354266.0,86329830.0,357219.0,652996.0,10156213.0,,153,0.01814,0.0,8475,1,0.006535,31,0.00483,1.758,7339,7,0.04575,,1250.0,,4115.0,,4376.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,3247.0,0.0,1.0,0.0,153,23,5,2678,1.0,2678,1.0,2678,1.0,0,15452,0.876,3,0.01307,8431,1.0,6420,0.2026,5,47,0
